# n UA SA SU SS DU DS
10 61 46 61 51 61 51
20 121 88 121 101 121 101
30 181 128 181 151 181 151
40 241 170 241 201 241 201
50 301 210 301 251 301 251
60 361 250 361 301 361 301
70 421 292 421 351 421 351
80 481 332 481 401 481 401
90 541 372 541 451 541 451
100 601 412 601 501 601 501
110 661 452 661 551 661 551
120 721 492 721 601 721 601
130 781 534 781 651 781 651
140 841 574 841 701 841 701
150 901 614 901 751 901 751
160 961 654 961 801 961 801
170 1021 694 1021 851 1021 851
180 1081 734 1081 901 1081 901
190 1141 774 1141 951 1141 951
200 1201 814 1201 1001 1201 1001
210 1261 854 1261 1051 1261 1051
220 1321 894 1321 1101 1321 1101
230 1381 934 1381 1151 1381 1151
240 1441 974 1441 1201 1441 1201
250 1501 1014 1501 1251 1501 1251
260 1561 1056 1561 1301 1561 1301
270 1621 1096 1621 1351 1621 1351
280 1681 1136 1681 1401 1681 1401
290 1741 1176 1741 1451 1741 1451
300 1801 1216 1801 1501 1801 1501
310 1861 1256 1861 1551 1861 1551
320 1921 1296 1921 1601 1921 1601
330 1981 1336 1981 1651 1981 1651
340 2041 1376 2041 1701 2041 1701
350 2101 1416 2101 1751 2101 1751
360 2161 1456 2161 1801 2161 1801
370 2221 1496 2221 1851 2221 1851
380 2281 1536 2281 1901 2281 1901
390 2341 1576 2341 1951 2341 1951
400 2401 1616 2401 2001 2401 2001
410 2461 1656 2461 2051 2461 2051
420 2521 1696 2521 2101 2521 2101
430 2581 1736 2581 2151 2581 2151
440 2641 1776 2641 2201 2641 2201
450 2701 1816 2701 2251 2701 2251
460 2761 1856 2761 2301 2761 2301
470 2821 1896 2821 2351 2821 2351
480 2881 1936 2881 2401 2881 2401
490 2941 1976 2941 2451 2941 2451
500 3001 2016 3001 2501 3001 2501
510 3061 2056 3061 2551 3061 2551
520 3121 2098 3121 2601 3121 2601
530 3181 2138 3181 2651 3181 2651
540 3241 2178 3241 2701 3241 2701
550 3301 2218 3301 2751 3301 2751
560 3361 2258 3361 2801 3361 2801
570 3421 2298 3421 2851 3421 2851
580 3481 2338 3481 2901 3481 2901
590 3541 2378 3541 2951 3541 2951
600 3601 2418 3601 3001 3601 3001
610 3661 2458 3661 3051 3661 3051
620 3721 2498 3721 3101 3721 3101
630 3781 2538 3781 3151 3781 3151
640 3841 2578 3841 3201 3841 3201
650 3901 2618 3901 3251 3901 3251
660 3961 2658 3961 3301 3961 3301
670 4021 2698 4021 3351 4021 3351
680 4081 2738 4081 3401 4081 3401
690 4141 2778 4141 3451 4141 3451
700 4201 2818 4201 3501 4201 3501
710 4261 2858 4261 3551 4261 3551
720 4321 2898 4321 3601 4321 3601
730 4381 2938 4381 3651 4381 3651
740 4441 2978 4441 3701 4441 3701
750 4501 3018 4501 3751 4501 3751
760 4561 3058 4561 3801 4561 3801
770 4621 3098 4621 3851 4621 3851
780 4681 3138 4681 3901 4681 3901
790 4741 3178 4741 3951 4741 3951
800 4801 3218 4801 4001 4801 4001
810 4861 3258 4861 4051 4861 4051
820 4921 3298 4921 4101 4921 4101
830 4981 3338 4981 4151 4981 4151
840 5041 3378 5041 4201 5041 4201
850 5101 3418 5101 4251 5101 4251
860 5161 3458 5161 4301 5161 4301
870 5221 3498 5221 4351 5221 4351
880 5281 3538 5281 4401 5281 4401
890 5341 3578 5341 4451 5341 4451
900 5401 3618 5401 4501 5401 4501
910 5461 3658 5461 4551 5461 4551
920 5521 3698 5521 4601 5521 4601
930 5581 3738 5581 4651 5581 4651
940 5641 3778 5641 4701 5641 4701
950 5701 3818 5701 4751 5701 4751
960 5761 3858 5761 4801 5761 4801
970 5821 3898 5821 4851 5821 4851
980 5881 3938 5881 4901 5881 4901
990 5941 3978 5941 4951 5941 4951
1000 6001 4018 6001 5001 6001 5001
