# n Search_UA Search_SA Search_SU Search_SS Search_DU Search_DS Insert_UA Insert_SA Insert_SU Insert_SS Insert_DU Insert_DS Delete_UA Delete_SA Delete_SU Delete_SS Delete_DU Delete_DS Min_UA Min_SA Min_SU Min_SS Min_DU Min_DS Max_UA Max_SA Max_SU Max_SS Max_DU Max_DS Pred_UA Pred_SA Pred_SU Pred_SS Pred_DU Pred_DS Succ_UA Succ_SA Succ_SU Succ_SS Succ_DU Succ_DS
10 10 4 10 10 10 10 1 10 1 10 1 10 10 10 10 10 10 10 10 1 10 1 10 1 10 1 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
20 20 5 20 20 20 20 1 20 1 20 1 20 20 20 20 20 20 20 20 1 20 1 20 1 20 1 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20 20
30 30 5 30 30 30 30 1 30 1 30 1 30 30 30 30 30 30 30 30 1 30 1 30 1 30 1 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30
40 40 6 40 40 40 40 1 40 1 40 1 40 40 40 40 40 40 40 40 1 40 1 40 1 40 1 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40 40
50 50 6 50 50 50 50 1 50 1 50 1 50 50 50 50 50 50 50 50 1 50 1 50 1 50 1 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50
60 60 6 60 60 60 60 1 60 1 60 1 60 60 60 60 60 60 60 60 1 60 1 60 1 60 1 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60 60
70 70 7 70 70 70 70 1 70 1 70 1 70 70 70 70 70 70 70 70 1 70 1 70 1 70 1 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70 70
80 80 7 80 80 80 80 1 80 1 80 1 80 80 80 80 80 80 80 80 1 80 1 80 1 80 1 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80 80
90 90 7 90 90 90 90 1 90 1 90 1 90 90 90 90 90 90 90 90 1 90 1 90 1 90 1 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90 90
100 100 7 100 100 100 100 1 100 1 100 1 100 100 100 100 100 100 100 100 1 100 1 100 1 100 1 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100 100
110 110 7 110 110 110 110 1 110 1 110 1 110 110 110 110 110 110 110 110 1 110 1 110 1 110 1 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110 110
120 120 7 120 120 120 120 1 120 1 120 1 120 120 120 120 120 120 120 120 1 120 1 120 1 120 1 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120 120
130 130 8 130 130 130 130 1 130 1 130 1 130 130 130 130 130 130 130 130 1 130 1 130 1 130 1 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130 130
140 140 8 140 140 140 140 1 140 1 140 1 140 140 140 140 140 140 140 140 1 140 1 140 1 140 1 140 140 140 140 140 140 140 140 140 140 140 140 140 140 140 140
150 150 8 150 150 150 150 1 150 1 150 1 150 150 150 150 150 150 150 150 1 150 1 150 1 150 1 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150 150
160 160 8 160 160 160 160 1 160 1 160 1 160 160 160 160 160 160 160 160 1 160 1 160 1 160 1 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160 160
170 170 8 170 170 170 170 1 170 1 170 1 170 170 170 170 170 170 170 170 1 170 1 170 1 170 1 170 170 170 170 170 170 170 170 170 170 170 170 170 170 170 170
180 180 8 180 180 180 180 1 180 1 180 1 180 180 180 180 180 180 180 180 1 180 1 180 1 180 1 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180 180
190 190 8 190 190 190 190 1 190 1 190 1 190 190 190 190 190 190 190 190 1 190 1 190 1 190 1 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190 190
200 200 8 200 200 200 200 1 200 1 200 1 200 200 200 200 200 200 200 200 1 200 1 200 1 200 1 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200 200
210 210 8 210 210 210 210 1 210 1 210 1 210 210 210 210 210 210 210 210 1 210 1 210 1 210 1 210 210 210 210 210 210 210 210 210 210 210 210 210 210 210 210
220 220 8 220 220 220 220 1 220 1 220 1 220 220 220 220 220 220 220 220 1 220 1 220 1 220 1 220 220 220 220 220 220 220 220 220 220 220 220 220 220 220 220
230 230 8 230 230 230 230 1 230 1 230 1 230 230 230 230 230 230 230 230 1 230 1 230 1 230 1 230 230 230 230 230 230 230 230 230 230 230 230 230 230 230 230
240 240 8 240 240 240 240 1 240 1 240 1 240 240 240 240 240 240 240 240 1 240 1 240 1 240 1 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240 240
250 250 8 250 250 250 250 1 250 1 250 1 250 250 250 250 250 250 250 250 1 250 1 250 1 250 1 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250 250
260 260 9 260 260 260 260 1 260 1 260 1 260 260 260 260 260 260 260 260 1 260 1 260 1 260 1 260 260 260 260 260 260 260 260 260 260 260 260 260 260 260 260
270 270 9 270 270 270 270 1 270 1 270 1 270 270 270 270 270 270 270 270 1 270 1 270 1 270 1 270 270 270 270 270 270 270 270 270 270 270 270 270 270 270 270
280 280 9 280 280 280 280 1 280 1 280 1 280 280 280 280 280 280 280 280 1 280 1 280 1 280 1 280 280 280 280 280 280 280 280 280 280 280 280 280 280 280 280
290 290 9 290 290 290 290 1 290 1 290 1 290 290 290 290 290 290 290 290 1 290 1 290 1 290 1 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290 290
300 300 9 300 300 300 300 1 300 1 300 1 300 300 300 300 300 300 300 300 1 300 1 300 1 300 1 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300 300
310 310 9 310 310 310 310 1 310 1 310 1 310 310 310 310 310 310 310 310 1 310 1 310 1 310 1 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310
320 320 9 320 320 320 320 1 320 1 320 1 320 320 320 320 320 320 320 320 1 320 1 320 1 320 1 320 320 320 320 320 320 320 320 320 320 320 320 320 320 320 320
330 330 9 330 330 330 330 1 330 1 330 1 330 330 330 330 330 330 330 330 1 330 1 330 1 330 1 330 330 330 330 330 330 330 330 330 330 330 330 330 330 330 330
340 340 9 340 340 340 340 1 340 1 340 1 340 340 340 340 340 340 340 340 1 340 1 340 1 340 1 340 340 340 340 340 340 340 340 340 340 340 340 340 340 340 340
350 350 9 350 350 350 350 1 350 1 350 1 350 350 350 350 350 350 350 350 1 350 1 350 1 350 1 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350 350
360 360 9 360 360 360 360 1 360 1 360 1 360 360 360 360 360 360 360 360 1 360 1 360 1 360 1 360 360 360 360 360 360 360 360 360 360 360 360 360 360 360 360
370 370 9 370 370 370 370 1 370 1 370 1 370 370 370 370 370 370 370 370 1 370 1 370 1 370 1 370 370 370 370 370 370 370 370 370 370 370 370 370 370 370 370
380 380 9 380 380 380 380 1 380 1 380 1 380 380 380 380 380 380 380 380 1 380 1 380 1 380 1 380 380 380 380 380 380 380 380 380 380 380 380 380 380 380 380
390 390 9 390 390 390 390 1 390 1 390 1 390 390 390 390 390 390 390 390 1 390 1 390 1 390 1 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390 390
400 400 9 400 400 400 400 1 400 1 400 1 400 400 400 400 400 400 400 400 1 400 1 400 1 400 1 400 400 400 400 400 400 400 400 400 400 400 400 400 400 400 400
410 410 9 410 410 410 410 1 410 1 410 1 410 410 410 410 410 410 410 410 1 410 1 410 1 410 1 410 410 410 410 410 410 410 410 410 410 410 410 410 410 410 410
420 420 9 420 420 420 420 1 420 1 420 1 420 420 420 420 420 420 420 420 1 420 1 420 1 420 1 420 420 420 420 420 420 420 420 420 420 420 420 420 420 420 420
